nome,partido,estado,cargo,foto,pagina,tipo,paleta
Davi Alcolumbre,DEM,AP,presidente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,titular,#ADBD30
Antonio Anastasia,PSDB,MG,1º vice-presidente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5529,titular,#ADBD30
Lasier Martins,Podemos,RS,2º vice-presidente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5533,titular,#ADBD30
Sérgio Petecão,PSD,AC,1º secretário,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/4560,titular,#ADBD30
Eduardo Gomes,MDB,TO,2º secretário,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,titular,#ADBD30
Flávio Bolsonaro,PSL,RJ,3º secretário,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,titular,#ADBD30
Luis Carlos Heinze,PP,RS,4º secretário,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/1186,titular,#ADBD30
Marcos do Val,Podemos,ES,1º suplente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,suplente,#F57017
Weverton,PDT,MA,2º suplente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5411,suplente,#F57017
Jaques Wagner,PT,BA,3º suplente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/581,suplente,#F57017
Leila Barros,PSB,DF,4º suplente,https://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,https://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,suplente,#F57017
